Customer_Id,Gender,Customer_Login_type,customer_key
37077,Female,Member,1
59173,Female,Member,2
41066,Female,Member,3
50741,Female,Member,4
53639,Female,Member,5
39783,Female,Member,6
26767,Female,Member,7
20719,Female,Member,8
46947,Female,Member,9
31839,Female,Member,10
22249,Female,Member,11
15109,Female,Member,12
18622,Female,Member,13
56296,Female,Member,14
34138,Female,Member,15
51112,Female,Member,16
57057,Female,Member,17
50942,Female,Member,18
42384,Female,Member,19
26127,Female,Member,20
14449,Female,Member,21
16823,Female,Member,22
15976,Female,Member,23
51542,Female,Member,24
42676,Female,Member,25
56593,Female,Member,26
37689,Female,Member,27
38941,Female,Member,28
19919,Female,Member,29
56625,Female,Member,30
33501,Female,Member,31
40865,Female,Member,32
38256,Female,Member,33
14567,Female,Member,34
38178,Female,Member,35
24153,Female,Member,36
27385,Female,Member,37
44937,Female,Member,38
38490,Female,Member,39
30549,Female,Member,40
50606,Female,Member,41
42084,Female,Member,42
52161,Female,Member,43
32218,Female,Member,44
36491,Female,Member,45
12227,Female,Member,46
13196,Female,Member,47
50444,Female,Guest,48
24528,Male,Member,49
57748,Male,Member,50
46349,Male,Member,51
54853,Male,Member,52
28082,Male,Member,53
20444,Male,Member,54
51472,Male,Member,55
45606,Male,Member,56
47238,Male,Member,57
18609,Male,Member,58
39387,Male,Member,59
47027,Male,Member,60
31526,Male,Member,61
25308,Male,Member,62
47320,Male,Member,63
52527,Male,Member,64
17333,Male,Member,65
26223,Male,Member,66
22734,Male,Member,67
54066,Male,Member,68
55093,Male,Member,69
49436,Male,Member,70
41257,Male,Member,71
55433,Male,Member,72
13366,Male,Member,73
41451,Male,Member,74
42588,Male,Member,75
26754,Male,Member,76
34365,Male,Member,77
49745,Male,Member,78
53213,Male,Member,79
43735,Male,Member,80
14760,Male,Member,81
44410,Male,Member,82
53552,Male,Member,83
39696,Male,Member,84
22235,Male,Member,85
42599,Male,Member,86
27079,Female,Member,87
57745,Male,Guest,88
20917,Male,Member,89
54446,Male,Member,90
55746,Male,Member,91
58534,Male,Member,92
53957,Male,Member,93
53395,Male,Member,94
29085,Male,Member,95
56399,Male,Member,96
27009,Female,Member,97
35336,Male,Member,98
26503,Male,Member,99
50579,Male,Member,100
54326,Male,Member,101
23420,Male,Member,102
32534,Male,Member,103
22902,Male,Member,104
40170,Male,Member,105
18701,Male,Member,106
10773,Male,Member,107
41607,Female,Member,108
26936,Male,Member,109
56518,Male,Member,110
44722,Female,Member,111
39332,Male,Member,112
39095,Male,Member,113
55428,Male,Member,114
16481,Male,Guest,115
23129,Male,Member,116
39272,Male,Member,117
54296,Male,Guest,118
50254,Male,Member,119
42386,Male,Member,120
16296,Male,Member,121
43547,Male,Member,122
58155,Male,Member,123
46686,Male,Member,124
39372,Male,Guest,125
23926,Male,Member,126
59723,Male,Member,127
13656,Male,Member,128
47245,Male,Member,129
26200,Male,Member,130
34771,Male,Guest,131
30722,Male,Member,132
46226,Male,Member,133
31323,Male,Member,134
